gpstime,altitude,speed,heading,hpdop,vdop,pdop,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,long
1411812292.00,134.2,0.057,171.7100,1.1,1.5,1.8,-0.021484,0.017578,0.0019531,-0.50781,-0.019531,10.1289,-5.625,-38.875,-48.75,-8.598427
1411812293.00,134.2,0.051,182.4400,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.57813,-0.046875,9.9297,-5.75,-39.0,-49.125,-8.598427
1411812294.00,134.2,0.062,174.8900,1.1,1.5,1.8,-0.013672,0.013672,0.0019531,-0.61719,0.011719,9.7344,-5.875,-39.0,-49.25,-8.598427
1411812295.00,134.3,0.057,173.8700,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.64453,0.082031,9.9336,-5.875,-39.0,-49.125,-8.598425
1411812297.00,134.3,0.062,173.6500,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.69922,0.19922,10.0313,-5.875,-39.0,-48.875,-8.598425
1411812298.00,134.4,0.067,179.5100,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.65625,-0.0078125,10.1289,-6.0,-38.875,-48.625,-8.598425
1411812299.00,134.6,0.062,175.8200,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.61328,-0.0078125,10.0898,-6.125,-38.75,-48.5,-8.598425
1411812301.00,134.8,0.067,171.9300,1.1,1.5,1.8,-0.017578,0.017578,0.0039063,-0.58594,0.0078125,10.1016,-6.375,-38.75,-48.25,-8.598423
1411812302.00,134.9,0.062,189.9600,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.47656,0.035156,10.0781,-6.5,-38.875,-48.5,-8.598423
1411812303.00,135.0,0.067,189.8400,1.1,1.5,1.8,-0.013672,0.013672,0.0039063,-0.5,0.011719,9.7813,-6.25,-39.0,-48.5,-8.598423
1411812304.00,135.1,0.067,190.3300,1.1,1.5,1.8,-0.019531,0.019531,0.0039063,-0.57031,-0.027344,9.9063,-6.125,-39.125,-48.375,-8.598423
